iter	MultiClass	Accuracy
417	0.08871460177	0.9716687031
418	0.08861697194	0.9717255724
419	0.08851755821	0.9717789952
420	0.08847499368	0.9717858885
421	0.08837871692	0.9717841651
422	0.08831672471	0.9717824418
423	0.08822374648	0.9718031216
424	0.08812946904	0.9718341413
425	0.08800942939	0.9718617143
426	0.08788138574	0.9718668843
427	0.08777756275	0.9719375402
428	0.08757066399	0.9720150893
429	0.08743761869	0.9720150893
430	0.08733463043	0.9720616188
431	0.08721123839	0.9721133183
432	0.0869658747	0.9721977607
433	0.0868809072	0.9722253338
434	0.08669575856	0.9722839265
435	0.08658794367	0.9722890964
436	0.08645571291	0.9723718155
437	0.08610706476	0.9725217439
438	0.085917729	0.9725889532
439	0.08583018326	0.972609633
440	0.08571173902	0.9726923521
441	0.08555200927	0.9726992454
442	0.08543812912	0.9727561148
443	0.08536132043	0.9728198774
444	0.08524687482	0.9728646836
445	0.0850701408	0.972949126
446	0.08500949493	0.972981869
447	0.08496040065	0.9729835923
448	0.08488519411	0.9729973788
449	0.08478930106	0.9730042721
450	0.08468060432	0.9730387384
451	0.08459397408	0.9730921612
452	0.08431155239	0.9732351963
453	0.08419280522	0.973293789
454	0.08416218273	0.9733058522
455	0.08405430052	0.9733127455
456	0.08388460113	0.9733385952
457	0.08382795388	0.973359275
458	0.08371634231	0.9734368241
459	0.08360507406	0.973479907
460	0.08346305541	0.9735384997
461	0.0832842413	0.9736091556
462	0.08319773897	0.9736177722
463	0.08312916315	0.9736401753
464	0.08308836906	0.9736401753
465	0.08294644465	0.9736746416
466	0.08283491386	0.9737452975
467	0.08267140763	0.9738142301
468	0.08249746053	0.9739245223
469	0.08233594688	0.9740003481
470	0.08226957907	0.9740158579
471	0.08219696423	0.974071004
472	0.08201967821	0.9740882372
473	0.08196642374	0.9741192568
474	0.08181066569	0.9742054226
475	0.08176610858	0.9741985293
476	0.08165513652	0.9742691852
477	0.08156091967	0.9742864184
478	0.08149218229	0.9743157147
479	0.08138819101	0.9743070982
480	0.08130584213	0.9743243313
481	0.08123397452	0.9743639676
482	0.08116647577	0.9743932639
483	0.08110745897	0.9744122204
484	0.0809841881	0.97444324
485	0.0809073121	0.9744570266
486	0.08080879369	0.9744742597
487	0.08075677785	0.9745225125
488	0.08068583921	0.9745311291
489	0.08050885612	0.9746086783
490	0.08044034088	0.9746362513
491	0.08034544413	0.9746827808
492	0.08026037565	0.9747155238
493	0.08021231132	0.9747344803
494	0.08000095617	0.9748103061
495	0.07992776914	0.9748275393
496	0.07986956014	0.9748413258
497	0.07977726182	0.9748913019
498	0.0796624325	0.9749481713
499	0.07960031911	0.9749654045
500	0.07943884586	0.9750222738
501	0.07938702524	0.9749998708
502	0.07931929762	0.9750377837
503	0.07919303114	0.975104993
504	0.07905369844	0.9751911587
505	0.07902409916	0.9751911587
506	0.07891344349	0.9752669846
507	0.07884821333	0.9752566447
508	0.07878787712	0.9752704312
509	0.07864612773	0.975318684
510	0.07853069256	0.97538417
511	0.07845486671	0.9754014031
512	0.07840581282	0.9754082964
513	0.07830686358	0.9754599958
514	0.0782353864	0.9754686124
515	0.07806435413	0.9755254818
516	0.07789254771	0.9755789046
517	0.07780179768	0.9756099242
518	0.07771744276	0.9756530071
519	0.07768405353	0.9756771335
520	0.07758113932	0.9757098765
521	0.07753596962	0.9757581293
522	0.07749207894	0.9757374495
523	0.07735140663	0.9758632515
524	0.07723944502	0.9758546349
525	0.07691412221	0.9759649271
526	0.07681539512	0.9759925001
527	0.07660016251	0.976063156
528	0.07646713068	0.9761079622
529	0.07642023093	0.9761424285
530	0.07635900613	0.9761596617
531	0.07626701073	0.9761751715
532	0.07622755625	0.9761958513
533	0.07609262608	0.9762578906
534	0.07598763177	0.976282017
535	0.07589853773	0.9763061434
536	0.07554915583	0.9764181589
537	0.07541589512	0.9764388387
538	0.07530030512	0.9765129412
539	0.07522237898	0.9766146168
540	0.07510781893	0.9766508064
541	0.07504949549	0.9766887194
542	0.07483445137	0.9767404188
543	0.0747622337	0.9767507587
544	0.07470111661	0.976752482
545	0.07466467793	0.9767628219
546	0.07450517032	0.9768214146
547	0.07446719681	0.9768162447
548	0.07442542662	0.9768610508
549	0.07434277482	0.9768972405
550	0.07421192406	0.9769696197
551	0.07414105273	0.9770161492
552	0.07407306931	0.9770144259
553	0.07398233947	0.9770178725
554	0.07393120548	0.9770075326
555	0.07388554437	0.9770437222
556	0.07383242454	0.9770868051
557	0.0737717652	0.9770816352
558	0.0737259156	0.9771074849
559	0.07364959833	0.9771453978
560	0.07361177964	0.977162631
561	0.07354615231	0.9771798641
562	0.07343699108	0.9772160537
563	0.0733962845	0.9772298402
564	0.0733004453	0.9772401801
565	0.07323419192	0.9772660298
566	0.07318276175	0.9773091127
567	0.07315407125	0.9773349624
568	0.07298088483	0.977376322
569	0.07291556716	0.9774073417
570	0.07281882591	0.9774331914
571	0.07276374715	0.9774624877
572	0.07271585112	0.9774883375
573	0.07262140538	0.9775245271
574	0.07250722904	0.9775796732
575	0.07231721337	0.9776572223
576	0.07227545665	0.9776658389
577	0.0721372616	0.9777416648
578	0.07186261502	0.9778278305
579	0.07181469206	0.9778209372
580	0.07172201676	0.9778933165
581	0.0716337036	0.9779036564
582	0.07152319603	0.9779243361
583	0.07140823881	0.9779536325
584	0.07136537135	0.9779984387
585	0.07126091558	0.9780156718
586	0.07120384424	0.9780466915
587	0.07115431913	0.9780742645
588	0.0710956995	0.9780966676
589	0.07104739283	0.9781363039
590	0.07099492597	0.9781621536
591	0.07094455267	0.9781914499
592	0.07086790554	0.9782224696
593	0.07075495437	0.9782552126
594	0.07069245055	0.9782879556
595	0.07061642947	0.9782810623
596	0.07052788744	0.9782862323
597	0.07047934516	0.9783017421
598	0.0703853841	0.9783362084
599	0.07030287367	0.9783792913
600	0.0702733821	0.9783965244
601	0.07013221164	0.9784637337
602	0.07011629117	0.9784757969
603	0.07007923317	0.9784913067
604	0.07003466259	0.978525773
605	0.06998570968	0.9785274964
606	0.06992575044	0.9785533461
607	0.06986911666	0.9785740259
608	0.06981440141	0.9785964289
609	0.06960228558	0.9786946579
610	0.06947577003	0.9786963812
611	0.06943807925	0.9786946579
612	0.06915707795	0.9787791003
613	0.06901327539	0.9788290765
614	0.06897261593	0.9788480329
615	0.06889351847	0.9788997324
616	0.06884717073	0.9788911158
617	0.06880194044	0.9788893925
618	0.06866476188	0.9789204121
619	0.06862377257	0.9789479852
620	0.06858207643	0.9789858981
621	0.0685440356	0.9790100245
622	0.06833889381	0.9791013602
623	0.06827737954	0.9791030835
624	0.06822447512	0.979149613
625	0.06805848489	0.9792650751
626	0.0679757927	0.9792909249
627	0.06794873801	0.9792960948
628	0.06788502248	0.9792943715
629	0.06777460242	0.9793271145
630	0.06770445812	0.9793650274
631	0.06766282256	0.9793977704
632	0.06759063182	0.9794442999
633	0.067505597	0.9794632563
634	0.0674327129	0.9794718729
635	0.06741727038	0.9794822128
636	0.06736195601	0.9795063392
637	0.06730600887	0.9794735962
638	0.06721570986	0.9795184024
639	0.06718195712	0.9795287423
640	0.06708834612	0.9795614853
641	0.06706637385	0.9795942283
642	0.06696237584	0.9796218013
643	0.06690887902	0.9796407578
644	0.06687089205	0.979620078
645	0.0667865304	0.9796510977
646	0.06669873558	0.9796769474
647	0.0666633605	0.979685564
648	0.06661802251	0.9797303702
649	0.06658120012	0.9797527732
650	0.06654173217	0.9797372634
651	0.06644658634	0.9797872395
652	0.06637706809	0.9798010261
653	0.06627544636	0.9798734053
654	0.06622713969	0.9799009783
655	0.06618267682	0.979931998
656	0.06611214881	0.9799233814
657	0.06604558577	0.9799819741
658	0.06581502509	0.9800319503
659	0.06572249116	0.9800595233
660	0.06560614047	0.9801336258
661	0.06555652785	0.9801525823
662	0.06551158703	0.9801853253
663	0.06547865556	0.9802077284
664	0.06539634708	0.9802404714
665	0.06530366505	0.9802938941
666	0.06528460761	0.9803162972
667	0.06517698121	0.9803180205
668	0.06511869816	0.980336977
669	0.06508319518	0.9803714433
670	0.06501748034	0.9803852298
671	0.06497969531	0.9803921231
672	0.06491262066	0.980430036
673	0.0648723853	0.9804334826
674	0.06480751192	0.9804748422
675	0.06474281356	0.9804800121
676	0.0647180813	0.9804851821
677	0.06456639593	0.9805610079
678	0.0645339828	0.9805713478
679	0.0644799138	0.9805920276
680	0.06444245862	0.9806023675
681	0.06442330694	0.9806040908
682	0.06439154678	0.9805989209
683	0.06432710423	0.9806368338
684	0.06429445549	0.9806351105
685	0.06419193845	0.9807057664
686	0.06410682958	0.980709213
687	0.06399263978	0.9807281695
688	0.06389233746	0.9808039953
689	0.06384911323	0.9808160585
690	0.06380355982	0.9808195052
691	0.06377367781	0.9808281217
692	0.06370970647	0.9808453549
693	0.06363433164	0.9808694813
694	0.06359402223	0.9808832678
695	0.06355934725	0.9809056709
696	0.063526887	0.9809246274
697	0.06349677611	0.9809384139
698	0.06338894776	0.9809918367
699	0.06319827912	0.9810590459
700	0.06312587297	0.9810917889
701	0.06301007428	0.9811417651
702	0.06296354478	0.9811676148
703	0.06282491218	0.9812382707
704	0.06278788783	0.9812692904
705	0.06274231423	0.9812761836
706	0.06269882072	0.9812882468
707	0.06266189063	0.9813175432
708	0.06261220396	0.9813261597
709	0.06258834682	0.9813313297
710	0.06252611226	0.9813468395
711	0.06245508611	0.981360626
712	0.06242072078	0.981393369
713	0.06235312106	0.981431282
714	0.0622351817	0.9814450685
715	0.06207918131	0.9814984912
716	0.06196510594	0.9815484674
717	0.06191497498	0.9815829337
718	0.06183089606	0.9816242932
719	0.06173610701	0.9816690994
720	0.06168501342	0.9816949491
721	0.06165288975	0.9816966725
722	0.0615918871	0.9817259688
723	0.06154517584	0.9817397553
724	0.06144114416	0.981798348
725	0.06139566481	0.9818138579
726	0.0612038989	0.9818810671
727	0.0611595572	0.9819310433
728	0.06108526617	0.9819258733
729	0.06101154061	0.9819362132
730	0.06097158798	0.9819689562
731	0.06080192897	0.9820396121
732	0.06074448738	0.9820740784
733	0.06071507659	0.9820895882
734	0.06059618806	0.9821171613
735	0.06054869592	0.9821361178
736	0.0605132266	0.9821585208
737	0.06044060504	0.982203327
738	0.06039526031	0.9822205602
739	0.06033921219	0.982203327
740	0.06030248404	0.9822188369
741	0.06024821308	0.9822171136
742	0.06015851993	0.9822791529
743	0.05997626591	0.9823463622
744	0.05994027152	0.9823911684
745	0.05989345929	0.9823704886
746	0.05985710811	0.9823911684
747	0.059812275	0.9824101248
748	0.05977160208	0.982427358
749	0.05955867844	0.9825066305
750	0.05944951721	0.9825583299
751	0.05939925162	0.982608306
752	0.05935548884	0.9826031361
753	0.05925229863	0.9826324324
754	0.0592220935	0.9826565589
755	0.05912236338	0.9826789619
756	0.05907125632	0.982706535
757	0.05899238101	0.9827427246
758	0.05883023458	0.9827720209
759	0.05868864003	0.9828547401
760	0.05864882203	0.9828823131
761	0.05854685699	0.9829409058
762	0.05850843245	0.9829650322
763	0.05845305749	0.9829598623
764	0.05841406749	0.9829926053
765	0.05836388268	0.9830425814
766	0.0582955896	0.9830580912
767	0.05825885472	0.983046028
768	0.05816601112	0.9831321938
769	0.05812494103	0.983139087
770	0.05796639606	0.983204573
771	0.05792758108	0.9832252528
772	0.05785382186	0.9832631657
773	0.05781748415	0.9832545491
774	0.05778834936	0.9832631657
775	0.05773664318	0.9832855688
776	0.05769434791	0.9832890154
777	0.05757557382	0.9833407149
778	0.05752096628	0.9833786278
779	0.05748056262	0.9833820744
780	0.0574457934	0.9833941376
781	0.05738545718	0.9834062008
782	0.05737126003	0.9834079241
783	0.05732636633	0.9834199874
784	0.057281614	0.9834217107
785	0.05723485562	0.9834716868
786	0.05720125098	0.9834785801
787	0.05712915448	0.9835147697
788	0.0570340827	0.9835785323
789	0.05700809834	0.9835802556
790	0.05695507948	0.9835974888
791	0.05692346069	0.983609552
792	0.05686241092	0.9836267851
793	0.0568152621	0.983642295
794	0.05677369386	0.9836646981
795	0.05658225781	0.9837853301
796	0.05652670783	0.9838163498
797	0.05647506896	0.9838060099
798	0.05636204374	0.9838370296
799	0.05633054949	0.983855986
800	0.05629278466	0.9838508161
801	0.05614712752	0.9839524917
802	0.0561111365	0.9839576616
803	0.05588230922	0.9840438273
804	0.05582162969	0.984074847
805	0.05578963056	0.9840834636
806	0.05567435695	0.9841213765
807	0.05561310859	0.9841317164
808	0.0555834016	0.9841299931
809	0.0555589891	0.9841420563
810	0.05546820541	0.984200649
811	0.05539615267	0.9842506251
812	0.05535287121	0.9842471785
813	0.05528200998	0.9843057712
814	0.05522276093	0.9843057712
815	0.05515770916	0.9843092178
816	0.05512343808	0.9843074945
817	0.05509216598	0.9843367909
818	0.05503786473	0.9843488541
819	0.05493048067	0.9843850437
820	0.05490264173	0.9843747038
821	0.05486365846	0.9844160634
822	0.05481114448	0.9844436364
823	0.05474917246	0.9844746561
824	0.05469322868	0.9844970592
825	0.05466780978	0.9845263555
826	0.05461590165	0.9845332488
827	0.05445672053	0.9845590985
828	0.05442791223	0.9845797783
829	0.05440661313	0.9845866715
830	0.05435966963	0.9846263078
831	0.0543247826	0.984638371
832	0.05427960281	0.9846831772
833	0.05418888307	0.9847210901
834	0.05414233337	0.9847486631
835	0.05410203406	0.9847727895
836	0.05407285551	0.9847572797
837	0.05404616096	0.9847624497
838	0.05401303763	0.9847831294
839	0.05392717818	0.9848020859
840	0.05390096494	0.9848055325
841	0.05378776133	0.9848658486
842	0.05375363835	0.9848761884
843	0.05368872121	0.9848951449
844	0.05362875524	0.9849072081
845	0.05355517104	0.9849123781
846	0.05352586122	0.9849468444
847	0.05346439745	0.9849640775
848	0.05342805973	0.9849916505
849	0.05339862875	0.9849968205
850	0.05336098845	0.9850037137
851	0.05322101961	0.9850812629
852	0.05312751294	0.9851019427
853	0.05305372343	0.985108836
854	0.05302195317	0.9851277924
855	0.05295522521	0.985169152
856	0.05286743376	0.9851605354
857	0.0528263603	0.9851743219
858	0.05279661292	0.9851950017
859	0.05275787873	0.9851950017
860	0.05264444624	0.9852225747
861	0.05259944483	0.9852518711
862	0.05254828055	0.9852708276
863	0.05251739552	0.9852794441
864	0.05250131685	0.9852794441
865	0.05243290597	0.9852966773
866	0.0523962586	0.9852966773
867	0.0523586486	0.9852846141
868	0.05232154684	0.9853052939
869	0.05228815761	0.9853190804
870	0.05225734663	0.9853173571
871	0.05221839028	0.9853397601
872	0.05219047056	0.9853483767
873	0.052153113	0.9853931829
874	0.05213794985	0.9854000762
875	0.05201119533	0.9854862419
876	0.05198030693	0.9855000284
877	0.05192258261	0.9855258782
878	0.05188762826	0.9855155383
879	0.05176195754	0.9855672377
880	0.05166367474	0.9855965341
