iter	Accuracy	MultiClass
141	0.8970480567	0.3349515974
142	0.8973907625	0.3332890702
143	0.897805125	0.3318572578
144	0.8980356726	0.3307156922
145	0.898431342	0.3295671625
146	0.8985808864	0.3285974183
147	0.8988020874	0.3276521204
148	0.8989859023	0.3266647545
149	0.8993379547	0.3256421561
150	0.8995965418	0.3246800452
151	0.8997118156	0.3237735135
152	0.9000451749	0.3227219995
153	0.9001573331	0.322000928
154	0.9004751149	0.3207966436
155	0.9005592336	0.3199415673
156	0.9007991277	0.3190674017
157	0.9010545993	0.3179317285
158	0.9014066516	0.3169108489
159	0.9015063478	0.3161980511
160	0.9016901628	0.3153503028
161	0.9021481424	0.3141049288
162	0.9023288418	0.3132576993
163	0.9025656204	0.3124247356
164	0.9027463198	0.3116930955
165	0.9029830984	0.3109621599
166	0.9033008801	0.3098423207
167	0.9036342394	0.3087643486
168	0.9037962458	0.3080183538
169	0.9039489057	0.3074411373
170	0.9042604564	0.3065160389
171	0.9044131163	0.3057403063
172	0.904509697	0.3052614302
173	0.9047433601	0.3042244815
174	0.9048461718	0.3034954396
175	0.9048866734	0.3026771165
176	0.9052200327	0.3018063856
177	0.9054973129	0.3008882981
178	0.905762131	0.2999767676
179	0.905762131	0.2994815021
180	0.9060549887	0.2985263372
181	0.9060549887	0.2979499781
182	0.9063634239	0.2970538339
183	0.9066282421	0.2961155202
184	0.9066718592	0.295697868
185	0.9068681361	0.2948554383
186	0.9071890334	0.2940028762
187	0.9073105382	0.2933461966
188	0.9073510398	0.2926732627
189	0.9075348547	0.2920970222
190	0.9077093232	0.2911871734
191	0.9078962536	0.2906577489
192	0.9079585638	0.290389688
193	0.908045798	0.2897196761
194	0.9081984578	0.2892515549
195	0.9082950386	0.2886634579
196	0.9085910118	0.2876149432
197	0.9087966353	0.2870917328
198	0.9090396448	0.2862572547
199	0.9092016512	0.2854557012
200	0.9093449646	0.2850339179
201	0.9094882779	0.284372168
202	0.9096533998	0.2839499361
203	0.9098091752	0.2832824069
204	0.9099742971	0.2827335567
205	0.9101487655	0.2821353026
206	0.9103824285	0.2814455595
207	0.9105226264	0.2809383649
208	0.9106939793	0.2803527683
209	0.9108248306	0.2796807229
210	0.910999299	0.2789956491
211	0.9111799984	0.2783134291
212	0.9113856219	0.2775507596
213	0.9115538593	0.2768485798
214	0.9117002882	0.2761310919
215	0.9119308357	0.2756959045
216	0.912024301	0.2752289131
217	0.9120803801	0.2746646913
218	0.9122797726	0.274192475
219	0.9123670068	0.2736034676
220	0.9125695148	0.2731502399
221	0.9126349404	0.2728053852
222	0.9128343329	0.272346482
223	0.9128872965	0.2718563827
224	0.9130586494	0.2713573884
225	0.9131895007	0.2708847345
226	0.9132362334	0.2704445468
227	0.9133951242	0.2699495208
228	0.9135353221	0.2693702922
229	0.9137658696	0.2688025773
230	0.9138312953	0.2683608818
231	0.9140182257	0.2678032368
232	0.9141708856	0.2672410789
233	0.9143702781	0.2665636801
234	0.9145073604	0.2660050385
235	0.9145945946	0.2655956921
236	0.914756601	0.265155855
237	0.9148999143	0.2644858825
238	0.9149996106	0.2642231916
239	0.9151398084	0.2639691541
240	0.9152145806	0.2632503421
241	0.9153921645	0.2626359716
242	0.9155448244	0.262001764
243	0.9156850222	0.2615867246
244	0.9157816029	0.2610736322
245	0.9158719526	0.2607365927
246	0.9160059195	0.2602103673
247	0.916009035	0.2599284061
248	0.9161149622	0.2594088402
249	0.9162956617	0.2588198278
250	0.9164047044	0.2583346057
251	0.9165449023	0.2577586886
252	0.9167131397	0.2572830829
253	0.9167567568	0.2568621702
254	0.9169187631	0.2564548601
255	0.9171586572	0.2558354508
256	0.917261469	0.2555217994
257	0.9173455877	0.2552302268
258	0.9173705117	0.2547317512
259	0.9175854817	0.2542638918
260	0.9177755277	0.2535048592
261	0.9178596464	0.2532215617
262	0.9179718047	0.2528244697
263	0.9180091907	0.2525104842
264	0.9181961212	0.2520627235
265	0.9183612431	0.2517079562
266	0.9184297843	0.2514229019
267	0.9184858634	0.2511920547
268	0.9186073682	0.2506395086
269	0.9186478698	0.2502585291
270	0.9188005296	0.2498768848
271	0.9188316847	0.2495416648
272	0.9189594205	0.2491794754
273	0.9190217307	0.24891285
274	0.9191401199	0.2486989117
275	0.9192772023	0.248241716
276	0.9193052418	0.2479078837
277	0.9195513669	0.2474075103
278	0.9196759872	0.2468096381
279	0.9197601059	0.2463700679
280	0.9200498481	0.2456599956
281	0.9201620064	0.2452144604
282	0.9202866267	0.244641731
283	0.9205452138	0.2440764257
284	0.9205857154	0.2438365087
285	0.9206636031	0.2435112251
286	0.9207539528	0.2431871688
287	0.9208256095	0.2428564423
288	0.9208941506	0.2424814184
289	0.9211496222	0.2417072143
290	0.9213022821	0.2412004841
291	0.9213801698	0.2409397755
292	0.9214829815	0.2404831704
293	0.9216076018	0.240105584
294	0.9216512189	0.239697102
295	0.9216792585	0.2394639471
296	0.9218007633	0.2390865342
297	0.9219783472	0.2388759392
298	0.9220437729	0.2385271058
299	0.9221528156	0.2382638117
300	0.9222338188	0.2379330338
301	0.9222992445	0.2376061275
302	0.9223740167	0.2372525596
303	0.9224145183	0.2368660287
304	0.9225360231	0.236394589
305	0.9225952177	0.2360475226
306	0.922726069	0.2356431425
307	0.9227603396	0.2353860723
308	0.9229379235	0.2349929915
309	0.9230999299	0.2347055787
310	0.9231528935	0.2343893667
311	0.923156009	0.2341348572
312	0.9232152037	0.2339355693
313	0.9231871641	0.2336981866
314	0.9233086689	0.2333855764
315	0.9233678635	0.2331689263
316	0.9235236389	0.2328011788
317	0.9235579095	0.2325137597
318	0.9236420282	0.2322343461
319	0.9238009191	0.2319101739
320	0.9237853415	0.2315622803
321	0.9238351897	0.231282786
322	0.9239348859	0.2310011757
323	0.9240563907	0.2306579351
324	0.9241155853	0.2302330539
325	0.9243336708	0.2296960425
326	0.9244364826	0.2294070792
327	0.9244395981	0.229161247
328	0.9245424098	0.2288737305
329	0.92460472	0.2286397325
330	0.9246981852	0.2283758624
331	0.9247168783	0.2280313068
332	0.9247978815	0.2277560979
333	0.9249256173	0.2274385685
334	0.9250813926	0.2270574551
335	0.9252028974	0.2267173447
336	0.9252527455	0.2263390196
337	0.9253680193	0.2260933184
338	0.9255736428	0.2256962803
339	0.925642184	0.2253207116
340	0.9256826856	0.225168763
341	0.9257449957	0.2247890205
342	0.9258166524	0.2245741596
343	0.9259132331	0.2241936049
344	0.9259880053	0.2239444348
345	0.9260503154	0.2236804674
346	0.9261250876	0.2235024715
347	0.9261437807	0.2233044576
348	0.9261998598	0.2230183626
349	0.9263089026	0.2228752227
350	0.9263462887	0.2226535203
351	0.9265301036	0.2222007919
352	0.9266048758	0.2219402222
353	0.9266640704	0.2216936415
354	0.9267544201	0.2212905564
355	0.9268728094	0.2210062583
356	0.926925773	0.2207745784
357	0.9269101955	0.2206237087
358	0.9269974297	0.2204444017
359	0.9270317003	0.2202503991
360	0.9271064725	0.220047906
361	0.9272435548	0.2197392479
362	0.9273868681	0.2193370921
363	0.9274367163	0.2191551133
364	0.9274803334	0.2189111646
365	0.9275644521	0.2186126033
366	0.9277077654	0.2182265799
367	0.9277763066	0.2180052805
368	0.9278822338	0.2176822236
369	0.9279943921	0.2175022388
370	0.9279912766	0.2172977907
371	0.9280224317	0.2171545942
372	0.9281345899	0.2168990243
373	0.9282374017	0.2166734703
374	0.9283215204	0.2163688138
375	0.928386946	0.2162390763
376	0.928380715	0.2160364351
377	0.9284243321	0.2158175997
378	0.928570761	0.2155697303
379	0.9287140743	0.215037569
380	0.9286704572	0.2148282428
381	0.9287140743	0.2145727098
382	0.9287950775	0.2143734683
383	0.9288947737	0.2140687182
384	0.9290162785	0.2138245456
385	0.9290630111	0.2136098149
386	0.9291440143	0.2134406152
387	0.929203209	0.2131095839
388	0.9292468261	0.212961693
389	0.9293434068	0.2126875338
390	0.9294150635	0.2124363962
391	0.9296082249	0.2120467172
392	0.9296611886	0.2118115007
393	0.9296892281	0.2116709697
394	0.9296829971	0.2115779087
395	0.9297203832	0.2113611892
396	0.92985435	0.2111358728
397	0.930038165	0.2108634933
398	0.9300475115	0.2106488539
399	0.9301503232	0.2103326562
400	0.930278059	0.2099890671
401	0.9302905211	0.2098094365
402	0.9303652932	0.2095626843
403	0.9304587585	0.2094026772
404	0.930468105	0.2092322248
405	0.9306051873	0.208911291
406	0.9306301114	0.2086707079
407	0.9306924215	0.2085170996
408	0.9308170418	0.2083200864
409	0.9308513124	0.2081718991
410	0.9308544279	0.2080129924
411	0.9309541242	0.2077899206
412	0.9309946257	0.2075614871
413	0.9310662824	0.207385982
414	0.9311379391	0.206959576
415	0.9311815562	0.2068027841
416	0.9312095958	0.2066775852
417	0.9312999455	0.2064868608
418	0.931309292	0.2063279919
419	0.931303061	0.2062112985
420	0.9313934107	0.2060215989
421	0.9314775294	0.2058739381
422	0.931524262	0.20563135
423	0.9316551133	0.2053613975
424	0.9316769219	0.2051123594
425	0.931720539	0.2049089117
426	0.9317423475	0.2048038519
427	0.9318077732	0.2045923415
428	0.9318825454	0.2043731821
429	0.931916816	0.2042647167
430	0.9319386245	0.204057464
431	0.9319978191	0.2038735517
432	0.9320227432	0.203691671
433	0.9320570138	0.203452686
434	0.9322501752	0.2031383007
435	0.9323342939	0.2029753091
436	0.9323747955	0.2027577457
437	0.9324339902	0.2025522839
438	0.9324807228	0.2024581207
439	0.9324807228	0.2022807559
440	0.9324994158	0.2018775213
441	0.9325835345	0.2016669689
442	0.9326894618	0.2014083173
443	0.9327860425	0.2012405216
444	0.9328327751	0.201092279
445	0.9329013163	0.2009533558
446	0.9328982008	0.2008091784
447	0.9329542799	0.2006174208
448	0.9329760885	0.2004026334
449	0.9329885505	0.2003362934
450	0.9330664382	0.2001131268
451	0.9331256328	0.1999727755
452	0.9331599034	0.1998428425
453	0.9332346756	0.1997171332
454	0.9332658307	0.1995641111
455	0.9333935665	0.199291503
456	0.9334683387	0.1991383539
457	0.9334994937	0.1987834039
458	0.9336085365	0.198572208
459	0.9336708466	0.198311719
460	0.9336895397	0.1981216379
461	0.9337393878	0.197809562
462	0.933826622	0.1977371078
463	0.933820391	0.1976058531
464	0.9338920477	0.1973481095
465	0.9339823974	0.1971454345
466	0.9340042059	0.1970143348
467	0.9340104369	0.1969364526
468	0.9340509385	0.1967634745
469	0.9341163642	0.1966347845
470	0.9342098294	0.1965166896
471	0.9342441	0.1962938205
472	0.9343219877	0.1960217462
473	0.9343811823	0.1958046592
474	0.9344497235	0.1955185788
475	0.9345276112	0.1953447336
476	0.9345899213	0.1951912575
477	0.9346584625	0.1950906541
478	0.9346989641	0.1949603235
479	0.9347861983	0.1947916951
480	0.9347799673	0.1946563639
481	0.9347861983	0.1944368549
482	0.9348485085	0.1943135346
483	0.9349014721	0.1941809247
484	0.9349918218	0.1939690429
485	0.9350323234	0.1937902153
486	0.9350634785	0.1937070265
487	0.9351320196	0.193592831
488	0.9351538282	0.1933249843
489	0.9351880988	0.1931101521
490	0.935281564	0.1927300379
491	0.9354248773	0.1923829792
492	0.9355401511	0.1922451804
493	0.9355650752	0.1920491878
494	0.9355868837	0.1918191062
495	0.9356429628	0.191654888
496	0.9357270815	0.1913986333
497	0.9357301971	0.1913303269
498	0.9358392398	0.1911283233
499	0.9358890879	0.1909712225
500	0.9358641639	0.1908648911
501	0.935926474	0.1906106128
502	0.9360791339	0.1904356334
503	0.9361134045	0.1903067153
504	0.9361881766	0.1901705452
505	0.9362504868	0.1898645262
506	0.9363096814	0.1897526504
507	0.9364280707	0.1895879626
508	0.9365090739	0.1894037021
509	0.9365620375	0.1892819804
510	0.9365900771	0.189144853
511	0.9366305787	0.1889793012
512	0.9366212322	0.1888722908
513	0.9366679648	0.1887743087
514	0.9368112781	0.1885562007
515	0.9368050471	0.1884551158
516	0.9369140899	0.1882190975
517	0.9368829348	0.1880606073
518	0.9369109744	0.1879494337
519	0.9369172054	0.1877755117
520	0.9369545915	0.1875545546
521	0.9369950931	0.1873782144
522	0.9370729808	0.1872382721
523	0.9371165979	0.1870726673
524	0.937172677	0.1869937421
525	0.9372194096	0.1868917234
526	0.9372723732	0.1868292772
527	0.9373159903	0.1867315002
528	0.9373004128	0.1866692642
529	0.9373128748	0.1865786323
530	0.9373377989	0.1863070949
531	0.9373845315	0.1861984402
532	0.9374437261	0.1860789756
533	0.9375589999	0.1859740483
534	0.9375434224	0.185875898
535	0.9376555807	0.1856591489
536	0.9377178908	0.1853771631
537	0.9377833165	0.1852637074
538	0.937817587	0.185145138
539	0.937817587	0.1850530499
540	0.9378207025	0.1849355232
541	0.9378705507	0.184802892
542	0.9380543656	0.1845744186
543	0.9380979827	0.1844161762
544	0.9381197913	0.1843278376
545	0.9381789859	0.1841678543
546	0.9382007945	0.1840733554
547	0.9382817976	0.1839687023
548	0.9382973752	0.183672694
549	0.9383783784	0.1834385635
550	0.9383814939	0.1833018691
551	0.9384656126	0.183169633
552	0.9384780746	0.1830651231
553	0.9384998832	0.1829483399
554	0.9385154607	0.1828499143
555	0.9385279227	0.1827936468
556	0.938627619	0.182558811
557	0.9386618896	0.1824450646
558	0.9387210842	0.1823526236
559	0.9387678168	0.182223155
560	0.9388145494	0.1820987757
561	0.938836358	0.1820235315
562	0.9388893216	0.1819212448
563	0.9389547473	0.1818279852
564	0.9389485162	0.1817319373
565	0.9389703248	0.1816622886
566	0.9390170574	0.1814751418
567	0.9390731365	0.1812419377
568	0.9391292157	0.1811840539
569	0.9392631825	0.1809784363
570	0.9392974531	0.180850589
571	0.9392943376	0.1806861741
572	0.9393659942	0.1805392062
573	0.9395030766	0.18043593
574	0.9395186541	0.1802574048
575	0.9395965418	0.1801595794
576	0.9395934263	0.1800514085
577	0.9396245814	0.1799939774
578	0.9396463899	0.1799337593
579	0.939677545	0.1797905715
580	0.9397180466	0.1796215435
581	0.9397865877	0.1795146375
582	0.9398520134	0.1794143926
583	0.939898746	0.1793546221
584	0.9399205546	0.179263419
585	0.9399143235	0.1791678979
586	0.9399174391	0.1790170922
587	0.9399890957	0.178892086
588	0.9399953267	0.1787678668
589	0.9400202508	0.1787171363
590	0.9400046733	0.178566943
591	0.9400545214	0.1784530069
592	0.9400607524	0.1783456092
593	0.9401511021	0.1781979166
594	0.9401604486	0.1780212037
595	0.9401791417	0.1779696634
596	0.9401978347	0.1778724407
597	0.9402726069	0.1777320542
598	0.9402912999	0.1776603633
599	0.940334917	0.1775386006
600	0.9403380326	0.1773949167
601	0.9404065737	0.1773142002
602	0.9404128047	0.1772379872
603	0.9404252668	0.1771274815
604	0.9406028507	0.1769069424
605	0.9406215437	0.1768207118
606	0.9406713919	0.1766027484
607	0.9407118934	0.1765219639
608	0.9407492795	0.1764378175
609	0.9408770153	0.1760905047
610	0.9409829426	0.175935054
611	0.9410078667	0.1757170611
612	0.9410172132	0.1756256659
613	0.9410172132	0.1755419994
614	0.9410857543	0.1753699202
615	0.9411854506	0.1751440952
616	0.9412134901	0.1750670785
617	0.9412664538	0.1749568443
618	0.9412633383	0.1748656387
619	0.9413194174	0.1746962267
620	0.9413848431	0.1746284521
621	0.9414066516	0.1744787704
622	0.9414409222	0.1743982988
623	0.9414783083	0.1743043093
624	0.9414938858	0.1742549711
625	0.9415001168	0.1741809172
626	0.941549965	0.1740621722
627	0.941587351	0.1739360979
628	0.9416060441	0.1738493185
629	0.9416091596	0.1737627625
630	0.9416403147	0.1736614878
631	0.9416745852	0.1735023086
632	0.9417742815	0.1733722403
633	0.9418210141	0.173225088
634	0.9418116676	0.1731270297
635	0.9418584002	0.172986046
636	0.9418615157	0.172824317
637	0.9419362879	0.172671916
638	0.941973674	0.1726046601
639	0.941986136	0.1725558702
640	0.9420546772	0.1724013306
641	0.9420577927	0.1723089717
642	0.9421138718	0.1721983096
643	0.9421169873	0.1720432192
644	0.9421543734	0.1719802891
645	0.9422104525	0.1718834306
646	0.9422416076	0.1718271263
647	0.9422914557	0.1716846115
648	0.9423132643	0.1714979102
649	0.9423163798	0.1714324679
650	0.9423101488	0.1713351239
651	0.9423818054	0.1711904634
652	0.942397383	0.1710930332
653	0.9424410001	0.1710083963
654	0.9424908482	0.1707894919
655	0.9425064257	0.1707303075
656	0.9425095412	0.1705950523
657	0.9425220033	0.1704812716
658	0.9425936599	0.1704033241
659	0.942599891	0.1703310691
660	0.9426590856	0.170165988
661	0.9427151647	0.1701019234
662	0.9427058182	0.1699883028
663	0.9427930524	0.1698316488
664	0.9428023989	0.169726626
665	0.9428304385	0.1696498607
666	0.9429239037	0.1695051969
667	0.9429207882	0.1694030264
668	0.9429675208	0.169276592
669	0.9430049069	0.1691754192
670	0.9430204845	0.1691031588
671	0.9430454085	0.1690174937
672	0.9430827946	0.1689049015
673	0.9430921411	0.1688255359
674	0.9430952566	0.1687492988
675	0.9432074149	0.1686261782
676	0.9432354545	0.1685474991
677	0.9432603785	0.1684514194
678	0.9432759561	0.1683228936
679	0.9432884181	0.1682528429
680	0.9433631903	0.1681161188
681	0.9433600748	0.1680070514
682	0.9434068074	0.1679218442
683	0.943447309	0.1678441952
684	0.9434846951	0.1677880393
685	0.9435127346	0.1677087964
686	0.9435501207	0.1676347109
687	0.9435875068	0.1675600637
688	0.9437058961	0.1674456758
689	0.9437152426	0.1673762204
690	0.9437339357	0.1673174851
691	0.9437682062	0.1672304526
692	0.9437868993	0.1671285346
693	0.9438336319	0.1670009873
694	0.9437993613	0.1669124329
695	0.9439021731	0.1668014106
696	0.943864787	0.1667348881
697	0.9438928265	0.1666876277
698	0.9440081003	0.1665217199
699	0.9439956383	0.1664306241
700	0.9440361399	0.1663532132
701	0.944104681	0.1662632439
702	0.9441171431	0.1661321797
703	0.9441420671	0.1660866735
704	0.9442043773	0.1659725071
705	0.9442698029	0.1658275305
706	0.9442791495	0.1657838213
707	0.9442978425	0.1657452355
708	0.944294727	0.1656888382
709	0.9443040735	0.1656271997
710	0.9443539216	0.1655459327
711	0.9443539216	0.1655120948
712	0.9444349248	0.1653519453
713	0.944484773	0.1652762198
714	0.9444660799	0.1651929
715	0.9445128125	0.1650835822
716	0.944503466	0.1649813257
717	0.9445501986	0.1648716492
718	0.9445751227	0.1648161273
719	0.9445875847	0.164738328
720	0.9446249708	0.1646906121
721	0.9446312018	0.1646205222
722	0.9446903964	0.1645847944
723	0.944730898	0.1644159307
724	0.9447433601	0.1643535854
725	0.9447838617	0.1642747274
726	0.9447807462	0.1642032284
727	0.9447900927	0.1641356563
728	0.9448368253	0.1640393552
729	0.9448679804	0.1639957041
730	0.9448648649	0.1639345843
731	0.944914713	0.1638339212
732	0.944939637	0.163732364
733	0.9449957162	0.1636314014
734	0.9450486798	0.1635549968
735	0.9450704884	0.1634962078
736	0.9450891814	0.1634203154
737	0.9451265675	0.1633632602
738	0.945117221	0.1633003233
739	0.945148376	0.1631677934
740	0.9452075707	0.1630953301
741	0.9452387258	0.1630279965
742	0.9452574188	0.1629465088
743	0.9452667653	0.162907223
744	0.9453134979	0.1627823629
745	0.945344653	0.1627175401
746	0.945338422	0.1626315527
747	0.9453945011	0.1624843676
748	0.9454069632	0.1624260905
749	0.9454443492	0.1623587585
750	0.9454910819	0.1622582329
751	0.9454755043	0.1621116729
752	0.945559623	0.161969623
753	0.9455814316	0.1618844014
754	0.9456250487	0.16182549
755	0.9456873588	0.1615760691
756	0.9457247449	0.1613961332
757	0.945749669	0.1613401058
758	0.945749669	0.1612197702
759	0.945774593	0.1611260648
760	0.9457964016	0.1610880925
761	0.9458119791	0.1610346766
762	0.9458213256	0.1609982016
763	0.9458369032	0.1609433251
764	0.9459023288	0.1608261963
765	0.9459459459	0.160778788
766	0.9459272529	0.1607142056
767	0.9459272529	0.1606354562
768	0.9461141833	0.1604233825
769	0.9461422229	0.1603917995
770	0.9461640315	0.1603010164
771	0.94618584	0.1602426075
772	0.9462450347	0.1601906597
773	0.9462232261	0.160093741
774	0.9462668432	0.1599985491
775	0.9462824207	0.1599382423
776	0.9463198068	0.1598814082
777	0.946394579	0.1597383683
778	0.9464818132	0.159558902
779	0.9465098528	0.1594757955
780	0.9464973908	0.1594346305
781	0.9465378924	0.1593745963
782	0.9465534699	0.1593222575
783	0.9465472389	0.1592649274
784	0.9465752784	0.1592228621
785	0.946584625	0.1591753691
786	0.9465815095	0.1591025661
787	0.9466500506	0.1590371409
788	0.9468027105	0.1587536439
789	0.9467466314	0.1585866409
790	0.9467809019	0.1585239661
791	0.9467590934	0.1584660014
792	0.9467964795	0.1584143672
793	0.9467964795	0.1583758588
794	0.9468307501	0.1582934596
795	0.9468805982	0.1580645955
796	0.9469584859	0.1579848411
797	0.947033258	0.1577928968
798	0.9470768751	0.1577046014
799	0.9471329543	0.1576146193
800	0.9471111457	0.1575645361
801	0.9471391853	0.1575288635
802	0.9471609938	0.1574501604
803	0.9471734559	0.1574000842
804	0.9472638056	0.1572856706
805	0.9472949607	0.1571980905
806	0.9472918452	0.1571258242
807	0.9473043072	0.1570552421
808	0.9473603863	0.1569693557
809	0.9473261157	0.1567481252
810	0.9473728484	0.1566967467
811	0.9473759639	0.1566332
812	0.947432043	0.1565852779
813	0.9474289275	0.1565383192
814	0.9474850066	0.1563548947
815	0.9475784718	0.1561999829
816	0.9476127424	0.1561494737
817	0.9476033959	0.1560596711
818	0.9476501285	0.1559803261
819	0.9477435937	0.1558388939
820	0.9478339435	0.1557081921
821	0.9478401745	0.1556552335
822	0.9478806761	0.1556052576
823	0.9479180622	0.1555622124
824	0.9479492172	0.1554400855
825	0.9479647948	0.1554087675
826	0.9479679103	0.1553707193
827	0.9480208739	0.1552837893
828	0.9480239894	0.1551513074
829	0.9480489135	0.1550759154
830	0.948076953	0.1550082552
831	0.9481143391	0.1549649185
832	0.9481797648	0.1548306853
833	0.9482576525	0.1546923343
834	0.948266999	0.1546022381
835	0.9482950386	0.1545475145
836	0.9483043851	0.1544932003
837	0.9483012696	0.1544177635
838	0.9483324246	0.1543667418
839	0.9483666952	0.1543245828
840	0.9484196589	0.1542445141
841	0.9484165433	0.1541909571
842	0.9484445829	0.1541473
843	0.9484913155	0.1540398737
844	0.9485100086	0.153924263
845	0.9485723187	0.1538312296
846	0.9486190513	0.1536815719
847	0.9486502064	0.153626126
848	0.9486626684	0.1535716452
849	0.9487125166	0.1534875876
850	0.9487467871	0.1534387524
851	0.9487436716	0.153403686
852	0.9487623647	0.1533490197
853	0.9488090973	0.1532282095
854	0.9487904042	0.1531783541
855	0.9488028663	0.153146064
856	0.9488495989	0.1530684772
857	0.9488464834	0.1529402962
858	0.948911909	0.1528904461
859	0.9489804502	0.1528381149
860	0.9489742192	0.1527980097
861	0.9490302983	0.1526760772
862	0.9490365293	0.1526213539
863	0.949089493	0.1525116768
864	0.9491580341	0.1523811279
865	0.9492265753	0.1523155916
866	0.9492452683	0.1522537998
867	0.9492701924	0.1521937152
868	0.9492857699	0.1521551018
869	0.9493138095	0.1520831876
870	0.949335618	0.1520410505
871	0.9493730041	0.1519895872
872	0.9493636576	0.1519341824
873	0.9493636576	0.1518583646
874	0.9493761196	0.151758545
875	0.9494010437	0.1516526906
876	0.9494477763	0.151575807
877	0.9494446608	0.1515479348
878	0.9494664694	0.1514525242
879	0.9494882779	0.1514074516
880	0.9495287795	0.1513475773
881	0.9494851624	0.1513023107
882	0.9495537036	0.1512537377
883	0.9495942052	0.1511877127
